location,magnitude
2.6,008 km S 69° E of Looc (Occidental Mindoro)
2.0,013 km N 82° E of Sinait (Ilocos Sur)
2.8,054 km S 63° W of Paluan (Occidental Mindoro)
3.8,008 km N 08° E of Concepcion (Tarlac)
2.2,007 km S 28° W of Capoocan (Leyte)
2.8,012 km S 02° W of Kiblawan (Davao Del Sur)
2.0,008 km N 88° W of Quezon (Isabela)
2.1,075 km N 51° E of Jomalig (Quezon)
2.4,003 km S 60° E of Tulunan (Cotabato)
3.0,036 km S 49° E of General Luna (Surigao Del Norte)
2.3,022 km N 22° W of Malungon (Sarangani)
2.4,016 km S 06° W of Kiblawan (Davao Del Sur)
